epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,train_auc_acl,train_auc_meniscus,val_loss,val_auc_mean,val_auc_abnormal,val_auc_acl,val_auc_meniscus
1,1e-05,142.395,128.149,14.246,2829.41,3086,0.767464,0.503909,0.47367,0.516578,0.521479,0.768194,0.580437,0.621544,0.585751,0.534015
2,9.99756e-06,141.141,127.142,13.9989,2828.16,3088,0.766317,0.524313,0.528883,0.515409,0.528647,0.761218,0.726491,0.700288,0.762822,0.716364
3,9.99023e-06,141.138,127.145,13.9933,2826.79,3088,0.755032,0.597804,0.625833,0.579309,0.588268,0.740481,0.759476,0.755032,0.810745,0.712652
4,9.97803e-06,141.141,127.117,14.0238,2828.54,3088,0.698629,0.735231,0.763934,0.704436,0.737322,0.699476,0.740443,0.72672,0.843699,0.650909
5,9.96097e-06,141.034,127.021,14.013,2827.16,3088,0.591155,0.816724,0.82621,0.823008,0.800956,0.828201,0.745223,0.722628,0.83198,0.681061
6,9.93906e-06,140.971,126.955,14.016,2826.79,3088,0.486477,0.87027,0.851587,0.90135,0.857874,1.04022,0.733393,0.671865,0.878162,0.650152
7,9.91232e-06,141.081,127.068,14.0132,2829.29,3088,0.425954,0.895102,0.878127,0.939726,0.867452,0.899776,0.720078,0.623535,0.919123,0.617576
8,9.88079e-06,141.105,127.119,13.9863,2828.47,3088,0.374923,0.910484,0.877612,0.961459,0.892382,0.765149,0.735444,0.640456,0.92156,0.644318
9,9.84449e-06,140.955,126.955,13.9998,2828.29,3088,0.32328,0.926779,0.885989,0.970171,0.924178,0.940455,0.753359,0.695643,0.928754,0.635682
10,9.80345e-06,141.004,127.012,13.9916,2828.54,3088,0.305179,0.932015,0.893017,0.978253,0.924775,1.1584,0.718561,0.645101,0.914597,0.595985
11,9.75773e-06,141.091,127.109,13.9825,2829.04,3088,0.259082,0.946485,0.911128,0.987102,0.941224,1.69204,0.710614,0.620327,0.912045,0.59947
12,9.70736e-06,141.022,126.982,14.0395,2830.79,3088,0.237702,0.952956,0.914168,0.986489,0.958212,1.84923,0.696938,0.591904,0.906939,0.59197
13,9.65239e-06,141.037,127.009,14.0279,2827.79,3088,0.201136,0.95771,0.907301,0.991875,0.973953,1.33316,0.744265,0.669321,0.922488,0.640985
14,9.59289e-06,141.064,127.053,14.011,2829.04,3088,0.196465,0.961044,0.918933,0.991673,0.972525,1.60909,0.752502,0.691551,0.919819,0.646136
15,9.52889e-06,141.038,127.022,14.0158,2826.97,3088,0.179898,0.96754,0.930377,0.994011,0.978231,1.39224,0.768103,0.726277,0.910304,0.667727
16,9.46048e-06,141.005,126.989,14.0159,2827.16,3088,0.141949,0.971074,0.926263,0.997525,0.989433,1.88009,0.737336,0.664455,0.914597,0.632955
17,9.38772e-06,141.02,126.97,14.0499,2832.97,3088,0.13964,0.974615,0.9402,0.998643,0.985001,1.59709,0.737023,0.662464,0.916106,0.6325
18,9.31067e-06,140.967,126.977,13.9902,2833.16,3088,0.128373,0.975141,0.935634,0.996421,0.993368,1.43001,0.760078,0.69885,0.925853,0.65553
19,9.22942e-06,140.955,126.956,13.9993,2825.41,3088,0.121504,0.977059,0.943054,0.998896,0.989226,1.83795,0.716381,0.62453,0.908099,0.616515
20,9.14405e-06,141.093,127.09,14.0029,2825.91,3088,0.0980985,0.982531,0.953188,0.999044,0.995361,2.14134,0.671687,0.557841,0.904038,0.553182
21,9.05463e-06,141.001,126.975,14.0258,2830.16,3088,0.105432,0.98374,0.959736,0.998586,0.992898,1.79315,0.703828,0.614023,0.910188,0.587273
22,8.96127e-06,141.07,127.076,13.9935,2827.54,3088,0.078087,0.985633,0.959554,0.999639,0.997704,2.35993,0.723099,0.61148,0.920167,0.637652
23,8.86404e-06,140.973,126.964,14.0084,2828.35,3088,0.0820984,0.987888,0.968127,0.99842,0.997118,2.77763,0.706638,0.628733,0.92156,0.569621
24,8.76305e-06,141.08,127.057,14.0236,2829.79,3088,0.0724589,0.988224,0.967573,0.999524,0.997576,2.28515,0.718928,0.634152,0.911116,0.611515
25,8.65839e-06,140.964,126.983,13.9808,2825.91,3088,0.058487,0.99025,0.972539,0.99969,0.998521,2.99776,0.725869,0.625857,0.905082,0.646667
26,8.55018e-06,141.022,127.028,13.994,2828.72,3088,0.0707995,0.988338,0.968004,0.999769,0.997242,2.39401,0.76711,0.691329,0.919471,0.69053
27,8.43851e-06,141.088,127.045,14.0427,2829.1,3088,0.0671583,0.990648,0.97394,0.998809,0.999195,2.31832,0.732324,0.64123,0.911348,0.644394
28,8.32349e-06,141.03,126.973,14.0566,2832.54,3088,0.0456499,0.992258,0.977196,0.999877,0.9997,1.96043,0.731944,0.632603,0.910652,0.652576
29,8.20525e-06,141.028,127.025,14.0028,2827.85,3088,0.0642749,0.991678,0.977781,0.998333,0.998919,2.94387,0.733778,0.637138,0.920863,0.643333
30,8.08389e-06,144.023,129.5,14.5233,2832.22,3088,0.053151,0.99368,0.982915,0.99982,0.998304,2.43399,0.726412,0.6357,0.910884,0.632652
31,7.95954e-06,144.395,130.122,14.2728,2829.91,3088,0.0569183,0.993306,0.98268,0.999848,0.99739,2.43075,0.713586,0.639792,0.900209,0.600758
32,7.83231e-06,144.497,129.971,14.526,2830.16,3088,0.0479041,0.995299,0.987513,0.998723,0.999662,2.68504,0.735243,0.680933,0.909492,0.615303
33,7.70234e-06,144.767,130.448,14.3191,2827.91,3088,0.0406423,0.995986,0.989256,0.999877,0.998824,2.22754,0.737664,0.669874,0.912741,0.630379
34,7.56976e-06,144.83,130.406,14.4241,2829.97,3088,0.0413333,0.99649,0.990927,0.999762,0.998781,2.66731,0.728514,0.627627,0.915642,0.642273
35,7.43468e-06,145.501,130.953,14.5486,2830.97,3088,0.0400418,0.994914,0.985401,0.999993,0.999347,2.43836,0.723927,0.631166,0.916222,0.624394
