epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,train_auc_acl,train_auc_meniscus,val_loss,val_auc_mean,val_auc_abnormal,val_auc_acl,val_auc_meniscus
1,1e-05,138.108,123.954,14.1538,2835.72,3020,0.765468,0.513226,0.494264,0.516004,0.529409,0.763758,0.595748,0.651847,0.566837,0.568561
2,9.99756e-06,156.767,142.73,14.0365,2829.41,3020,0.766706,0.510866,0.506958,0.498669,0.526971,0.762504,0.628271,0.641783,0.664771,0.578258
3,9.99023e-06,136.871,122.776,14.0947,2834.72,3020,0.764265,0.534164,0.548143,0.536243,0.518107,0.760634,0.67657,0.68956,0.664771,0.675379
4,9.97803e-06,140.437,126.341,14.0966,2833.54,3020,0.759116,0.578493,0.599006,0.556822,0.579652,0.757566,0.708811,0.734793,0.679972,0.711667
5,9.96097e-06,137.238,123.216,14.022,2831.35,3020,0.75458,0.613118,0.645034,0.591254,0.603067,0.752166,0.751399,0.75094,0.758181,0.745076
6,9.93906e-06,137.681,123.613,14.0674,2833.72,3020,0.747351,0.648243,0.668797,0.610974,0.664958,0.737802,0.736303,0.735678,0.74414,0.729091
7,9.91232e-06,137.02,122.938,14.0818,2741.36,3020,0.722428,0.734251,0.78194,0.702614,0.718199,0.733239,0.726512,0.746627,0.732304,0.700606
8,9.88079e-06,136.803,122.762,14.0412,2834.04,3020,0.69047,0.759057,0.786748,0.726,0.764424,0.799672,0.70476,0.741539,0.707589,0.665152
9,9.84449e-06,136.741,122.744,13.9963,2832.35,3020,0.62578,0.814468,0.810781,0.826031,0.806593,0.889416,0.68497,0.68956,0.73126,0.634091
10,9.80345e-06,136.494,122.464,14.0303,2741.36,3020,0.555243,0.848755,0.850491,0.863223,0.832551,0.948165,0.693202,0.658704,0.778023,0.642879
11,9.75773e-06,136.544,122.528,14.0167,2741.36,3020,0.493521,0.873732,0.861592,0.909817,0.849786,1.00823,0.697733,0.670316,0.773033,0.649848
12,9.70736e-06,136.393,122.386,14.007,2835.91,3020,0.456607,0.886292,0.869642,0.926229,0.863006,0.968837,0.696466,0.629064,0.7945,0.665833
13,9.65239e-06,136.417,122.412,14.0055,2830.47,3020,0.393947,0.904545,0.865577,0.964154,0.883904,1.25318,0.701846,0.68038,0.762126,0.66303
14,9.59289e-06,136.608,122.538,14.0696,2831.97,3020,0.366117,0.914369,0.882158,0.964356,0.896595,1.37711,0.66702,0.608936,0.758413,0.633712
15,9.52889e-06,136.499,122.424,14.0755,2741.36,3020,0.337105,0.928186,0.906961,0.978069,0.899529,1.29457,0.699569,0.640234,0.792411,0.666061
16,9.46048e-06,136.485,122.424,14.0615,2834.41,3020,0.315435,0.928469,0.88934,0.981261,0.914806,1.7284,0.694112,0.636364,0.786958,0.659015
17,9.38772e-06,136.353,122.369,13.9841,2831.6,3020,0.279156,0.939026,0.899099,0.990858,0.927121,2.09688,0.671454,0.627737,0.752611,0.634015
18,9.31067e-06,136.445,122.426,14.0185,2741.36,3020,0.267212,0.93139,0.876646,0.994946,0.922577,1.78537,0.668934,0.604291,0.760617,0.641894
19,9.22942e-06,136.357,122.334,14.0239,2829.6,3020,0.233178,0.944453,0.89502,0.996428,0.94191,1.61516,0.686694,0.618779,0.799257,0.642045
20,9.14405e-06,136.522,122.502,14.0194,2832.47,3020,0.212755,0.954647,0.915957,0.997042,0.950943,2.30173,0.663043,0.583389,0.764679,0.641061
21,9.05463e-06,136.37,122.382,13.9878,2741.36,3020,0.204087,0.954646,0.911089,0.997796,0.955051,1.97543,0.654182,0.568127,0.781388,0.61303
22,8.96127e-06,136.452,122.467,13.9856,2835.97,3020,0.19403,0.958649,0.913064,0.997554,0.96533,1.4783,0.681526,0.599536,0.81527,0.629773
23,8.86404e-06,136.417,122.406,14.0109,2835.41,3020,0.175068,0.956661,0.90472,0.999062,0.966202,1.83461,0.709357,0.625525,0.822697,0.679848
24,8.76305e-06,136.523,122.491,14.0318,2741.36,3020,0.16851,0.959742,0.902899,0.99829,0.978038,3.08475,0.656933,0.601637,0.743328,0.625833
25,8.65839e-06,136.405,122.401,14.004,2834.85,3020,0.156404,0.966428,0.921745,0.999661,0.977878,2.50575,0.684745,0.595112,0.825714,0.633409
26,8.55018e-06,136.447,122.459,13.9879,2832.91,3020,0.149778,0.968835,0.921994,0.998463,0.986047,1.99834,0.714954,0.635036,0.837781,0.672045
27,8.43851e-06,136.518,122.463,14.055,2829.35,3020,0.130018,0.969819,0.922026,0.999957,0.987473,2.92028,0.659643,0.574873,0.793223,0.610833
28,8.32349e-06,136.412,122.376,14.0362,2741.36,3020,0.116518,0.97133,0.92046,0.999913,0.993615,2.28073,0.686683,0.613692,0.778023,0.668333
29,8.20525e-06,136.471,122.429,14.0418,2741.36,3020,0.124897,0.976476,0.937868,0.998708,0.992851,2.12099,0.710402,0.612917,0.853214,0.665076
30,8.08389e-06,136.411,122.406,14.005,2835.41,3020,0.10635,0.977711,0.938509,0.999784,0.994842,2.27166,0.696736,0.600088,0.822697,0.667424
