epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,train_auc_acl,train_auc_meniscus,val_loss,val_auc_mean,val_auc_abnormal,val_auc_acl,val_auc_meniscus
1,8e-05,137.611,123.494,14.1172,2835.72,3020,0.768542,0.513419,0.479616,0.529172,0.531469,0.761147,0.762524,0.807344,0.708865,0.771364
2,7.99805e-05,136.477,122.476,14.0004,2829.41,3020,0.734548,0.64353,0.665764,0.619088,0.645736,0.649307,0.763772,0.722185,0.831631,0.7375
3,7.99219e-05,136.482,122.496,13.986,2834.72,3020,0.645835,0.759909,0.743312,0.784239,0.752176,0.795446,0.814695,0.822716,0.809701,0.811667
4,7.98243e-05,136.521,122.505,14.0157,2833.54,3020,0.613971,0.792973,0.818422,0.798396,0.762102,1.0455,0.757768,0.746074,0.796472,0.730758
5,7.96877e-05,136.413,122.351,14.0621,2831.35,3020,0.560599,0.827764,0.829568,0.846375,0.80735,0.85851,0.808474,0.790865,0.850313,0.784242
6,7.95125e-05,136.346,122.353,13.9931,2833.72,3020,0.500132,0.8586,0.850263,0.901996,0.82354,0.70207,0.83751,0.833997,0.885124,0.793409
7,7.92986e-05,136.499,122.454,14.0443,2741.36,3020,0.477614,0.870599,0.864428,0.915391,0.831977,1.43481,0.734665,0.707919,0.817591,0.678485
8,7.90463e-05,136.556,122.535,14.0206,2834.04,3020,0.431895,0.891348,0.882056,0.938842,0.853147,0.735634,0.793735,0.76399,0.885472,0.731742
9,7.87559e-05,136.354,122.356,13.9972,2832.35,3020,0.406927,0.901756,0.88838,0.943597,0.873292,0.749439,0.795312,0.783013,0.859364,0.743561
10,7.84276e-05,136.429,122.405,14.0245,2741.36,3020,0.371068,0.912441,0.892936,0.957872,0.886514,1.38018,0.738694,0.679827,0.849965,0.686288
11,7.80618e-05,136.516,122.506,14.0101,2741.36,3020,0.328729,0.92027,0.893545,0.977282,0.889984,1.42113,0.696025,0.636585,0.795428,0.656061
12,7.76589e-05,136.383,122.372,14.0109,2835.91,3020,0.332198,0.92181,0.901519,0.976961,0.88695,1.30152,0.721294,0.656381,0.798561,0.708939
13,7.72191e-05,137.865,123.515,14.3506,2830.47,3020,0.29197,0.931742,0.894586,0.986388,0.914251,1.09054,0.766052,0.743088,0.849385,0.705682
14,7.67431e-05,138.764,124.534,14.2305,2831.97,3020,0.305065,0.932243,0.902062,0.976052,0.918617,1.01333,0.77468,0.714223,0.873985,0.735833
15,7.62312e-05,139.679,125.298,14.3806,2741.36,3020,0.275661,0.93984,0.904072,0.9815,0.933949,1.54565,0.719639,0.6524,0.820608,0.685909
16,7.56839e-05,138.783,124.473,14.3094,2834.41,3020,0.262002,0.937762,0.891959,0.987993,0.933332,1.2984,0.74792,0.678169,0.874681,0.690909
17,7.51017e-05,139.172,124.46,14.7122,2831.6,3020,0.229168,0.949426,0.90971,0.992247,0.946321,1.50695,0.711565,0.636585,0.813414,0.684697
18,7.44854e-05,142.227,127.602,14.625,2741.36,3020,0.212103,0.950556,0.899639,0.991839,0.960191,1.41481,0.742018,0.671422,0.8466,0.70803
19,7.38354e-05,142.169,127.552,14.6166,2829.6,3020,0.17283,0.960109,0.913149,0.997987,0.96919,1.86743,0.746744,0.64311,0.873637,0.723485
20,7.31524e-05,141.441,127.018,14.4229,2832.47,3020,0.216857,0.959501,0.922173,0.985205,0.971124,2.35046,0.675481,0.577417,0.811905,0.637121
21,7.24371e-05,140.308,125.902,14.4057,2741.36,3020,0.171664,0.966301,0.926606,0.994765,0.977533,2.42161,0.652238,0.545565,0.87062,0.54053
22,7.16901e-05,140.45,125.993,14.4576,2835.97,3020,0.180639,0.961816,0.913908,0.995231,0.976309,2.21808,0.725436,0.641783,0.889069,0.645455
23,7.09123e-05,141.16,126.819,14.3411,2835.41,3020,0.169822,0.968847,0.934821,0.99518,0.97654,2.17464,0.715229,0.617784,0.880251,0.647652
24,7.01044e-05,138.955,124.717,14.2384,2741.36,3020,0.129157,0.971403,0.931452,0.999307,0.983449,2.23423,0.718714,0.627627,0.891622,0.636894
25,6.92672e-05,139.47,125.189,14.2811,2834.85,3020,0.0961295,0.977245,0.936138,0.999228,0.996371,3.07097,0.704215,0.575979,0.869923,0.666742
26,6.84014e-05,139.479,125.219,14.2598,2832.91,3020,0.103243,0.975222,0.934681,0.999192,0.991793,3.55233,0.64059,0.551316,0.738106,0.632348
27,6.75081e-05,140.735,126.406,14.3293,2829.35,3020,0.14483,0.976752,0.947123,0.992734,0.990398,3.34243,0.685944,0.574652,0.846136,0.637045
28,6.65879e-05,138.898,124.612,14.2863,2741.36,3020,0.117949,0.979312,0.946531,0.996767,0.994637,2.62022,0.724004,0.594116,0.890926,0.68697
29,6.5642e-05,140.866,126.813,14.0532,2741.36,3020,0.109709,0.979267,0.949108,0.999163,0.989529,3.15122,0.65322,0.5167,0.868415,0.574545
30,6.46711e-05,141.555,127.109,14.4457,2835.41,3020,0.0912132,0.97953,0.944409,0.999545,0.994637,2.24252,0.730081,0.628069,0.885356,0.676818
