epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,train_auc_acl,train_auc_meniscus,val_loss,val_auc_mean,val_auc_abnormal,val_auc_acl,val_auc_meniscus
1,8e-05,142.299,128.131,14.1684,2735.36,3016,0.771696,0.479203,0.45295,0.483228,0.501431,0.764934,0.53141,0.385092,0.529821,0.679318
2,7.99805e-05,141.014,126.989,14.0253,2735.36,3016,0.766009,0.499798,0.483479,0.496865,0.519052,0.765056,0.518957,0.467817,0.575191,0.513864
3,7.99219e-05,141.041,126.986,14.0552,2735.36,3016,0.766237,0.498058,0.489372,0.492896,0.511905,0.764563,0.527937,0.629175,0.388953,0.565682
4,7.98243e-05,140.994,126.991,14.0032,2735.36,3016,0.766545,0.483415,0.488153,0.47195,0.490143,0.7647,0.627534,0.617341,0.651775,0.613485
5,7.96877e-05,140.706,126.646,14.0602,2735.36,3016,0.765941,0.471778,0.495903,0.463252,0.45618,0.764702,0.515153,0.538266,0.507194,0.5
6,7.95125e-05,140.568,126.545,14.0232,2735.36,3016,0.765619,0.47615,0.481924,0.456584,0.489943,0.764679,0.50538,0.523336,0.492806,0.5
7,7.92986e-05,140.74,126.677,14.0626,2735.36,3016,0.765496,0.497149,0.508306,0.493171,0.489971,0.764632,0.581608,0.586596,0.612091,0.546136
8,7.90463e-05,140.855,126.836,14.0192,2735.36,3016,0.765628,0.506826,0.51892,0.495032,0.506525,0.765453,0.519751,0.462729,0.635994,0.46053
9,7.87559e-05,140.787,126.792,13.9947,2735.36,3016,0.767191,0.49449,0.507291,0.499888,0.476292,0.764724,0.395842,0.343176,0.475864,0.368485
10,7.84276e-05,140.859,126.854,14.0051,2735.36,3016,0.767933,0.466923,0.450236,0.473122,0.477411,0.764501,0.493019,0.408538,0.495823,0.574697
11,7.80618e-05,140.942,126.94,14.0026,2735.36,3016,0.766533,0.476367,0.512897,0.440815,0.475389,0.764447,0.589758,0.575536,0.62207,0.571667
12,7.76589e-05,140.807,126.792,14.0157,2735.36,3016,0.766444,0.477475,0.491431,0.480998,0.459995,0.76437,0.613532,0.615019,0.657925,0.567652
13,7.72191e-05,140.808,126.814,13.9935,2735.36,3016,0.766585,0.490027,0.493277,0.475089,0.501717,0.764642,0.474367,0.509511,0.455558,0.45803
14,7.67431e-05,140.942,126.931,14.0109,2735.36,3016,0.774996,0.498151,0.473884,0.502215,0.518354,0.77506,0.438697,0.435855,0.33198,0.548258
15,7.62312e-05,140.944,126.945,13.9986,2735.36,3016,0.767428,0.505266,0.479917,0.50035,0.53553,0.764475,0.537355,0.528976,0.554073,0.529015
16,7.56839e-05,140.925,126.91,14.0145,2735.36,3016,0.766782,0.481355,0.464572,0.460351,0.51914,0.764608,0.585079,0.577527,0.548619,0.629091
17,7.51017e-05,140.874,126.855,14.0191,2735.36,3016,0.766213,0.484171,0.487681,0.459413,0.505418,0.764568,0.605042,0.690776,0.517986,0.606364
18,7.44854e-05,140.817,126.835,13.9821,2735.36,3016,0.767194,0.469299,0.468799,0.464298,0.474801,0.764398,0.558541,0.590024,0.488628,0.59697
19,7.38354e-05,140.785,126.806,13.9795,2735.36,3016,0.766036,0.487962,0.480649,0.501522,0.481715,0.764673,0.47019,0.449347,0.462056,0.499167
20,7.31524e-05,140.992,127.002,13.99,2735.36,3016,0.766231,0.487709,0.515422,0.479497,0.468209,0.764634,0.555552,0.682261,0.492806,0.491591
21,7.24371e-05,140.891,126.87,14.0206,2735.36,3016,0.765923,0.482659,0.550857,0.456678,0.440443,0.764598,0.574759,0.659589,0.433627,0.631061
22,7.16901e-05,140.96,126.945,14.0149,2735.36,3016,0.765776,0.488129,0.498375,0.48322,0.482791,0.764422,0.609882,0.695753,0.519726,0.614167
23,7.09123e-05,140.868,126.845,14.0224,2735.36,3016,0.765758,0.486055,0.499247,0.502424,0.456495,0.764631,0.507815,0.527317,0.446507,0.549621
24,7.01044e-05,140.907,126.903,14.0042,2735.36,3016,0.766144,0.478257,0.523501,0.442915,0.468355,0.764746,0.459603,0.556182,0.355883,0.466742
25,6.92672e-05,140.81,126.808,14.0017,2735.36,3016,0.765825,0.498822,0.479157,0.511581,0.505728,0.764166,0.462339,0.391617,0.444187,0.551212
26,6.84014e-05,140.915,126.896,14.0185,2735.36,3016,0.766076,0.488814,0.498897,0.485656,0.481889,0.764729,0.539185,0.595443,0.426201,0.595909
27,6.75081e-05,140.928,126.916,14.0118,2735.36,3016,0.765832,0.48092,0.478646,0.477434,0.48668,0.76454,0.523635,0.476664,0.48712,0.607121
28,6.65879e-05,140.818,126.829,13.9892,2735.36,3016,0.765743,0.495454,0.521634,0.493755,0.470972,0.764642,0.487476,0.54833,0.385008,0.529091
29,6.5642e-05,140.843,126.856,13.9871,2735.36,3016,0.765798,0.475329,0.496687,0.465434,0.463865,0.764631,0.491256,0.539482,0.447087,0.487197
30,6.46711e-05,140.846,126.818,14.0285,2735.36,3016,0.765678,0.474184,0.504496,0.449221,0.468836,0.764584,0.478344,0.498673,0.508935,0.427424
