epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,val_loss,val_auc_mean,val_auc_abnormal
1,1e-05,146.508,131.997,14.5117,2830.21,3088,0.266139,0.515502,0.515502,0.264765,0.680491,0.680491
2,9.99756e-06,143.665,129.69,13.9752,2827.46,3088,0.245518,0.694693,0.694693,0.255266,0.696306,0.696306
3,9.99023e-06,141.407,127.326,14.0807,2831.59,3088,0.179593,0.864306,0.864306,0.270713,0.718868,0.718868
4,9.97803e-06,141.088,127.085,14.0023,2828.27,3088,0.136556,0.921423,0.921423,0.242441,0.746627,0.746627
5,9.96097e-06,140.997,127.001,13.9963,2825.4,3088,0.103001,0.956459,0.956459,0.344732,0.775824,0.775824
6,9.93906e-06,140.884,126.914,13.9705,2829.21,3088,0.0854944,0.968351,0.968351,0.393759,0.76775,0.76775
7,9.91232e-06,141.022,127.028,13.9941,2824.96,3088,0.0601022,0.984011,0.984011,0.520634,0.738,0.738
8,9.88079e-06,141.078,127.049,14.0292,2831.52,3088,0.0440109,0.991998,0.991998,0.375655,0.754811,0.754811
9,9.84449e-06,140.889,126.914,13.9749,2826.52,3088,0.0271551,0.996995,0.996995,0.580448,0.719089,0.719089
10,9.80345e-06,140.907,126.914,13.9929,2823.09,3088,0.0217741,0.998522,0.998522,0.646664,0.76211,0.76211
11,9.75773e-06,141.003,127.002,14.0017,2831.4,3088,0.020639,0.998487,0.998487,0.570391,0.789648,0.789648
12,9.70736e-06,140.815,126.848,13.9669,2828.9,3088,0.0205729,0.998648,0.998648,0.694782,0.740765,0.740765
13,9.65239e-06,140.927,126.902,14.0252,2830.65,3088,0.026329,0.996295,0.996295,0.655468,0.743751,0.743751
14,9.59289e-06,141.008,126.965,14.0435,2830.46,3088,0.0143304,0.999359,0.999359,0.541234,0.766202,0.766202
15,9.52889e-06,140.896,126.891,14.0055,2829.84,3088,0.00949453,0.999671,0.999671,0.690794,0.765207,0.765207
16,9.46048e-06,140.86,126.855,14.0047,2826.9,3088,0.00845149,0.999636,0.999636,0.802502,0.749613,0.749613
17,9.38772e-06,140.832,126.841,13.9907,2826.71,3088,0.0184532,0.998648,0.998648,0.866929,0.764433,0.764433
18,9.31067e-06,140.811,126.81,14.0015,2830.27,3088,0.00599541,0.99986,0.99986,0.544232,0.78434,0.78434
19,9.22942e-06,140.783,126.797,13.9861,2824.59,3088,0.00457523,0.99993,0.99993,0.882739,0.775271,0.775271
20,9.14405e-06,140.981,126.951,14.0298,2827.4,3088,0.00133371,1,1,0.908563,0.781796,0.781796
21,9.05463e-06,140.84,126.836,14.0041,2827.9,3088,0.00750961,0.999538,0.999538,1.04117,0.763327,0.763327
22,8.96127e-06,140.974,126.936,14.0381,2829.34,3088,0.0140671,0.999363,0.999363,1.60159,0.757133,0.757133
23,8.86404e-06,140.808,126.83,13.9777,2825.46,3088,0.0126968,0.999251,0.999251,1.30063,0.736231,0.736231
24,8.76305e-06,140.909,126.92,13.9886,2828.96,3088,0.00549445,0.999937,0.999937,1.51046,0.755474,0.755474
25,8.65839e-06,140.869,126.853,14.0151,2833.65,3088,0.00691723,0.999776,0.999776,1.10443,0.749281,0.749281
26,8.55018e-06,140.85,126.879,13.971,2827.71,3088,0.0119287,0.999349,0.999349,1.17665,0.784119,0.784119
27,8.43851e-06,140.922,126.912,14.01,2831.34,3088,0.0106617,0.999636,0.999636,0.885208,0.770847,0.770847
28,8.32349e-06,140.849,126.83,14.0189,2829.27,3088,0.0068181,0.999811,0.999811,1.08063,0.757686,0.757686
29,8.20525e-06,140.833,126.868,13.9656,2827.34,3088,0.007411,0.999713,0.999713,1.34122,0.774607,0.774607
30,8.08389e-06,140.803,126.818,13.9846,2828.77,3088,0.00670595,0.99986,0.99986,1.61129,0.731254,0.731254
31,7.95954e-06,140.865,126.873,13.9924,2830.46,3088,0.0100425,0.999622,0.999622,1.81924,0.737779,0.737779
