epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_abnormal,val_loss,val_auc_mean,val_auc_abnormal
1,8e-05,142.496,127.785,14.7107,2835.71,3020,0.267941,0.526729,0.526729,0.264128,0.676841,0.676841
2,7.99805e-05,140.288,125.917,14.371,2829.4,3020,0.23611,0.726167,0.726167,0.627366,0.627627,0.627627
3,7.99219e-05,139.929,125.516,14.4122,2834.71,3020,0.199988,0.820407,0.820407,0.213796,0.799381,0.799381
4,7.98243e-05,139.719,125.034,14.6843,2833.52,3020,0.147087,0.910326,0.910326,0.354057,0.624751,0.624751
5,7.96877e-05,137.427,123.389,14.0388,2831.34,3020,0.123781,0.93362,0.93362,0.647698,0.701725,0.701725
6,7.95125e-05,138.27,124.21,14.0601,2833.71,3020,0.115484,0.944255,0.944255,1.10103,0.601858,0.601858
7,7.92986e-05,136.69,122.603,14.0869,2741.36,3020,0.0953142,0.960251,0.960251,0.766273,0.670095,0.670095
8,7.90463e-05,137.487,123.015,14.4722,2834.02,3020,0.0720542,0.978058,0.978058,0.745044,0.735789,0.735789
9,7.87559e-05,136.443,122.347,14.096,2832.34,3020,0.0785806,0.974503,0.974503,0.880936,0.666224,0.666224
10,7.84276e-05,136.417,122.351,14.0661,2741.36,3020,0.0376406,0.994352,0.994352,1.04818,0.6357,0.6357
11,7.80618e-05,136.47,122.45,14.0205,2741.36,3020,0.0379336,0.994824,0.994824,1.30962,0.655607,0.655607
12,7.76589e-05,136.483,122.483,14.0003,2835.9,3020,0.0291975,0.996071,0.996071,2.13594,0.530967,0.530967
13,7.72191e-05,136.34,122.345,13.9951,2830.46,3020,0.0290309,0.995882,0.995882,1.77859,0.646538,0.646538
14,7.67431e-05,136.441,122.433,14.0085,2831.96,3020,0.0456357,0.991112,0.991112,2.03863,0.479098,0.479098
15,7.62312e-05,136.342,122.363,13.9786,2741.36,3020,0.0426322,0.992863,0.992863,0.802559,0.693762,0.693762
16,7.56839e-05,136.37,122.345,14.0246,2834.4,3020,0.0192199,0.998487,0.998487,1.70899,0.634926,0.634926
17,7.51017e-05,136.274,122.282,13.9921,2831.59,3020,0.0269126,0.997048,0.997048,1.85548,0.666003,0.666003
18,7.44854e-05,136.296,122.266,14.0308,2741.36,3020,0.0262832,0.997171,0.997171,1.24545,0.651073,0.651073
19,7.38354e-05,136.219,122.243,13.9759,2829.59,3020,0.0185746,0.998578,0.998578,1.84976,0.599093,0.599093
20,7.31524e-05,136.418,122.379,14.0388,2832.46,3020,0.0103056,0.999552,0.999552,1.65868,0.612143,0.612143
21,7.24371e-05,136.342,122.275,14.0672,2741.36,3020,0.0067136,0.999832,0.999832,1.77251,0.617562,0.617562
22,7.16901e-05,139.783,125.524,14.2585,2835.96,3020,0.0108204,0.999303,0.999303,1.75969,0.599978,0.599978
23,7.09123e-05,138.833,124.498,14.3346,2835.4,3020,0.00656889,0.999895,0.999895,2.50986,0.584826,0.584826
24,7.01044e-05,140.651,126.403,14.248,2741.36,3020,0.0193441,0.997773,0.997773,2.66841,0.59666,0.59666
25,6.92672e-05,138.602,124.345,14.2568,2834.84,3020,0.0125016,0.999426,0.999426,2.11828,0.577638,0.577638
26,6.84014e-05,139.755,125.415,14.3395,2832.9,3020,0.0191613,0.998417,0.998417,1.39105,0.675514,0.675514
27,6.75081e-05,140.529,126.127,14.4012,2829.34,3020,0.0604386,0.985702,0.985702,1.44812,0.57808,0.57808
28,6.65879e-05,140.537,125.977,14.5599,2741.36,3020,0.0125945,0.999482,0.999482,1.34477,0.629728,0.629728
29,6.5642e-05,140.774,126.523,14.2507,2741.36,3020,0.0103074,0.999671,0.999671,1.6323,0.623313,0.623313
30,6.46711e-05,138.527,124.309,14.2181,2835.4,3020,0.00607348,0.999881,0.999881,1.97179,0.619664,0.619664
