epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_acl,val_loss,val_auc_mean,val_auc_acl
1,1e-05,142.206,128.069,14.1366,2831.59,3088,1.13321,0.550101,0.550101,1.12907,0.580761,0.580761
2,9.99756e-06,141.01,127.022,13.9885,2823.46,3088,1.1341,0.515214,0.515214,1.12155,0.696797,0.696797
3,9.99023e-06,141.089,127.033,14.0555,2831.46,3088,1.12098,0.560873,0.560873,1.1006,0.723718,0.723718
4,9.97803e-06,141.016,127.012,14.0039,2826.71,3088,1.04726,0.70129,0.70129,1.52034,0.576468,0.576468
5,9.96097e-06,140.902,126.89,14.0118,2828.77,3088,0.832794,0.84214,0.84214,1.91051,0.636343,0.636343
6,9.93906e-06,140.873,126.902,13.9704,2828.27,3088,0.566171,0.932824,0.932824,1.82859,0.75145,0.75145
7,9.91232e-06,140.953,126.972,13.9818,2829.46,3088,0.382891,0.970319,0.970319,2.84377,0.726039,0.726039
8,9.88079e-06,141.07,127.105,13.9653,2832.02,3088,0.258709,0.986839,0.986839,3.37199,0.655605,0.655605
9,9.84449e-06,140.847,126.873,13.9748,2831.21,3088,0.16416,0.995288,0.995288,3.46402,0.704224,0.704224
10,9.80345e-06,140.919,126.914,14.0046,2827.84,3088,0.108022,0.997965,0.997965,4.80646,0.681597,0.681597
11,9.75773e-06,140.965,127.003,13.9623,2828.46,3088,0.109862,0.997406,0.997406,11.6947,0.580877,0.580877
12,9.70736e-06,140.881,126.867,14.0137,2829.84,3088,0.118845,0.996746,0.996746,4.51651,0.668252,0.668252
13,9.65239e-06,140.905,126.899,14.0065,2827.59,3088,0.0604306,0.999437,0.999437,3.68539,0.732537,0.732537
14,9.59289e-06,140.925,126.941,13.9834,2828.4,3088,0.0137508,1,1,3.2147,0.785217,0.785217
15,9.52889e-06,140.865,126.887,13.9789,2825.09,3088,0.0413128,0.999697,0.999697,4.45707,0.735902,0.735902
16,9.46048e-06,140.834,126.859,13.9749,2830.21,3088,0.0861146,0.997713,0.997713,3.55077,0.810397,0.810397
17,9.38772e-06,140.834,126.851,13.983,2830.15,3088,0.0429135,0.999683,0.999683,5.02833,0.712926,0.712926
18,9.31067e-06,140.816,126.845,13.971,2829.96,3088,0.0478877,0.998975,0.998975,4.33678,0.720469,0.720469
19,9.22942e-06,140.774,126.812,13.9617,2827.34,3088,0.0453946,0.999286,0.999286,3.36895,0.807844,0.807844
20,9.14405e-06,140.948,126.961,13.9872,2828.77,3088,0.0307892,0.999646,0.999646,4.19837,0.723022,0.723022
21,9.05463e-06,140.812,126.818,13.9947,2825.77,3088,0.0215908,0.999892,0.999892,7.92741,0.675099,0.675099
22,8.96127e-06,140.871,126.903,13.9683,2828.09,3088,0.0408236,0.999719,0.999719,2.71196,0.794616,0.794616
23,8.86404e-06,140.784,126.814,13.9701,2831.27,3088,0.0571958,0.998146,0.998146,5.04874,0.702135,0.702135
24,8.76305e-06,140.884,126.889,13.9951,2830.34,3088,0.0149642,0.999978,0.999978,6.76472,0.656185,0.656185
25,8.65839e-06,140.787,126.793,13.994,2829.52,3088,0.00610284,1,1,9.80728,0.637503,0.637503
26,8.55018e-06,140.901,126.868,14.0337,2826.77,3088,0.0323451,0.999798,0.999798,3.97353,0.773381,0.773381
27,8.43851e-06,140.897,126.853,14.0435,2826.52,3088,0.0185851,0.999942,0.999942,4.93725,0.737874,0.737874
28,8.32349e-06,140.779,126.799,13.9803,2833.84,3088,0.0271527,0.999834,0.999834,4.44236,0.690531,0.690531
29,8.20525e-06,140.869,126.854,14.0155,2828.34,3088,0.0290001,0.999574,0.999574,3.54472,0.753887,0.753887
30,8.08389e-06,140.801,126.791,14.0097,2827.96,3088,0.030034,0.999784,0.999784,5.84532,0.733813,0.733813
31,7.95954e-06,140.859,126.82,14.0387,2827.96,3088,0.01152,0.999978,0.999978,4.00597,0.77489,0.77489
32,7.83231e-06,140.891,126.915,13.9767,2829.27,3088,0.00636451,1,1,5.8599,0.670341,0.670341
33,7.70234e-06,140.783,126.772,14.0102,2825.71,3088,0.00201006,1,1,4.05444,0.747273,0.747273
34,7.56976e-06,140.791,126.811,13.98,2829.09,3088,0.00291672,1,1,7.79871,0.68531,0.68531
35,7.43468e-06,140.771,126.751,14.0199,2834.77,3088,0.0210775,0.999885,0.999885,8.03272,0.659666,0.659666
36,7.29725e-06,140.784,126.787,13.9967,2826.65,3088,0.0361993,0.999784,0.999784,3.62756,0.782664,0.782664
