epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_acl,val_loss,val_auc_mean,val_auc_acl
1,8e-05,140.013,125.819,14.1944,2835.71,3020,1.12955,0.560808,0.560808,1.14104,0.521003,0.521003
2,7.99805e-05,136.533,122.533,13.9993,2829.4,3020,1.10055,0.619524,0.619524,1.3982,0.594802,0.594802
3,7.99219e-05,136.577,122.5,14.0771,2834.71,3020,1.05948,0.666533,0.666533,1.13184,0.555813,0.555813
4,7.98243e-05,136.565,122.511,14.0541,2833.52,3020,1.01907,0.708859,0.708859,3.41204,0.605941,0.605941
5,7.96877e-05,136.424,122.417,14.0072,2831.34,3020,0.840784,0.833402,0.833402,1.25117,0.748782,0.748782
6,7.95125e-05,136.477,122.392,14.0846,2833.71,3020,0.740407,0.872719,0.872719,0.937215,0.897656,0.897656
7,7.92986e-05,136.447,122.464,13.9832,2741.36,3020,0.688488,0.888972,0.888972,1.42528,0.790787,0.790787
8,7.90463e-05,136.579,122.56,14.019,2834.02,3020,0.62762,0.91112,0.91112,6.90285,0.622302,0.622302
9,7.87559e-05,136.42,122.442,13.9785,2832.34,3020,0.523783,0.936724,0.936724,1.74819,0.843119,0.843119
10,7.84276e-05,136.426,122.427,13.9992,2741.36,3020,0.371976,0.968678,0.968678,3.21984,0.796937,0.796937
11,7.80618e-05,136.489,122.462,14.0267,2741.36,3020,0.409116,0.961812,0.961812,1.14375,0.860408,0.860408
12,7.76589e-05,136.45,122.376,14.0733,2835.9,3020,0.261412,0.984595,0.984595,1.31135,0.87236,0.87236
13,7.72191e-05,136.516,122.494,14.0225,2830.46,3020,0.349447,0.971405,0.971405,1.11481,0.852402,0.852402
14,7.67431e-05,136.41,122.413,13.9979,2831.96,3020,0.197584,0.989029,0.989029,4.06586,0.681365,0.681365
15,7.62312e-05,136.393,122.366,14.0274,2741.36,3020,0.231465,0.987373,0.987373,2.05865,0.823741,0.823741
16,7.56839e-05,136.38,122.356,14.0241,2834.4,3020,0.0742029,0.998586,0.998586,1.58434,0.913669,0.913669
17,7.51017e-05,136.382,122.321,14.0614,2831.59,3020,0.0601223,0.999365,0.999365,2.32553,0.886633,0.886633
18,7.44854e-05,136.263,122.263,13.9998,2741.36,3020,0.0890474,0.997525,0.997525,2.6349,0.759573,0.759573
19,7.38354e-05,136.261,122.265,13.9958,2829.59,3020,0.121245,0.996796,0.996796,3.71224,0.642725,0.642725
20,7.31524e-05,136.452,122.429,14.0224,2832.46,3020,0.19859,0.991067,0.991067,1.90401,0.822581,0.822581
21,7.24371e-05,136.3,122.299,14.0004,2741.36,3020,0.103752,0.99693,0.99693,2.0712,0.817591,0.817591
22,7.16901e-05,136.452,122.403,14.0494,2835.96,3020,0.0843667,0.998579,0.998579,1.92674,0.847993,0.847993
23,7.09123e-05,136.388,122.316,14.0716,2835.4,3020,0.150627,0.994321,0.994321,2.14803,0.796008,0.796008
24,7.01044e-05,136.358,122.357,14.0011,2741.36,3020,0.0381979,0.999805,0.999805,2.22131,0.865398,0.865398
25,6.92672e-05,136.323,122.311,14.0128,2834.84,3020,0.0701605,0.998777,0.998777,1.80391,0.89638,0.89638
26,6.84014e-05,136.386,122.376,14.0104,2832.9,3020,0.0776414,0.998413,0.998413,2.11272,0.887445,0.887445
27,6.75081e-05,137.77,123.313,14.4571,2829.34,3020,0.0326454,0.999841,0.999841,1.85697,0.87294,0.87294
28,6.65879e-05,139.334,125.114,14.2201,2741.36,3020,0.00784225,1,1,1.60253,0.88582,0.88582
29,6.5642e-05,139.309,125.043,14.2667,2741.36,3020,0.00550139,1,1,1.39547,0.90868,0.90868
30,6.46711e-05,141.159,125.892,15.2671,2835.4,3020,0.0235576,0.999856,0.999856,3.66138,0.929914,0.929914
31,6.36763e-05,146.164,131.895,14.269,2835.34,3020,0.0781794,0.998593,0.998593,1.97195,0.864586,0.864586
32,6.26585e-05,138.719,124.486,14.233,2833.46,3020,0.122998,0.996356,0.996356,2.08282,0.842075,0.842075
33,6.16187e-05,138.73,124.38,14.3499,2833.65,3020,0.0797089,0.998463,0.998463,1.53693,0.901369,0.901369
34,6.0558e-05,139.474,125.234,14.2397,2741.36,3020,0.0209332,0.999978,0.999978,1.42369,0.872824,0.872824
35,5.94774e-05,138.6,124.314,14.2868,2831.02,3020,0.00721979,0.999993,0.999993,1.30443,0.901601,0.901601
36,5.8378e-05,139.325,124.834,14.4911,2741.36,3020,0.0230103,0.999892,0.999892,3.16169,0.940822,0.940822
37,5.72609e-05,139.299,125.049,14.2504,2833.09,3020,0.00962254,1,1,2.30317,0.913901,0.913901
38,5.61271e-05,138.861,124.628,14.2332,2832.96,3020,0.00315388,1,1,2.4419,0.930146,0.930146
39,5.49777e-05,138.632,124.352,14.2805,2836.09,3020,0.0029194,1,1,2.51666,0.90427,0.90427
40,5.3814e-05,138.601,124.354,14.2468,2834.84,3020,0.00242208,1,1,2.78536,0.906011,0.906011
41,5.26371e-05,138.718,124.415,14.3026,2833.34,3020,0.0232602,0.999892,0.999892,2.2729,0.900209,0.900209
42,5.1448e-05,139.16,124.889,14.2714,2833.9,3020,0.0341064,0.999654,0.999654,2.29271,0.904734,0.904734
43,5.02481e-05,140.686,126.443,14.2429,2835.96,3020,0.0329439,0.999697,0.999697,3.76371,0.937805,0.937805
44,4.90385e-05,138.524,124.252,14.272,2741.36,3020,0.0229709,0.999913,0.999913,3.45441,0.902762,0.902762
45,4.78203e-05,137.623,123.597,14.0253,2829.46,3020,0.00939864,1,1,4.53781,0.937108,0.937108
46,4.65948e-05,136.236,122.235,14.0002,2832.4,3020,0.00452829,1,1,2.88015,0.93734,0.93734
47,4.53632e-05,136.24,122.262,13.9784,2830.15,3020,0.00153893,1,1,3.39639,0.92214,0.92214
48,4.41267e-05,136.462,122.425,14.0365,2837.15,3020,0.00458824,1,1,3.58878,0.907171,0.907171
49,4.28865e-05,136.313,122.31,14.0034,2830.15,3020,0.00158508,1,1,5.18951,0.900557,0.900557
50,4.16439e-05,136.425,122.386,14.0391,2836.02,3020,0.00177561,1,1,5.31168,0.920863,0.920863
51,4.04e-05,136.328,122.345,13.9829,2836.21,3020,0.00134172,1,1,4.58429,0.916454,0.916454
52,3.91561e-05,136.254,122.216,14.0383,2835.9,3020,0.00121159,1,1,5.59761,0.922952,0.922952
53,3.79135e-05,136.259,122.259,14.0001,2833.02,3020,0.000372271,1,1,6.11869,0.923416,0.923416
54,3.66733e-05,136.31,122.326,13.9844,2835.9,3020,0.000401459,1,1,5.89099,0.928174,0.928174
55,3.54368e-05,138.469,124.137,14.3323,2831.52,3020,0.000323587,1,1,4.72457,0.923648,0.923648
56,3.42052e-05,138.772,124.383,14.3884,2741.36,3020,0.000358312,1,1,5.24989,0.929102,0.929102
