epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_meniscus,val_loss,val_auc_mean,val_auc_meniscus
1,1e-05,142.222,128.044,14.1783,2828.09,3088,0.901661,0.515358,0.515358,0.898818,0.655455,0.655455
2,9.99756e-06,141.029,127.036,13.993,2827.71,3088,0.885539,0.583119,0.583119,0.933497,0.636894,0.636894
3,9.99023e-06,141.067,127.02,14.0465,2827.59,3088,0.79573,0.741135,0.741135,0.989416,0.649697,0.649697
4,9.97803e-06,141.023,127.005,14.0173,2827.9,3088,0.68766,0.818317,0.818317,2.54037,0.603636,0.603636
5,9.96097e-06,140.853,126.896,13.9562,2828.84,3088,0.585813,0.873761,0.873761,1.63733,0.664015,0.664015
6,9.93906e-06,140.878,126.876,14.002,2828.15,3088,0.457216,0.928326,0.928326,2.43645,0.649621,0.649621
7,9.91232e-06,140.952,126.968,13.9846,2826.71,3088,0.362094,0.952594,0.952594,2.38891,0.595455,0.595455
8,9.88079e-06,141.079,127.082,13.9973,2825.65,3088,0.265894,0.97418,0.97418,2.97737,0.664015,0.664015
9,9.84449e-06,140.876,126.895,13.9816,2826.84,3088,0.20096,0.986533,0.986533,2.40863,0.642576,0.642576
10,9.80345e-06,140.931,126.945,13.9855,2825.96,3088,0.168939,0.990781,0.990781,5.03072,0.555076,0.555076
11,9.75773e-06,141.021,127.032,13.9893,2827.09,3088,0.128976,0.993927,0.993927,3.74483,0.655985,0.655985
12,9.70736e-06,140.919,126.907,14.0122,2830.09,3088,0.117913,0.995289,0.995289,6.09119,0.661061,0.661061
13,9.65239e-06,140.872,126.903,13.9684,2828.52,3088,0.113457,0.99523,0.99523,2.14513,0.710833,0.710833
14,9.59289e-06,140.956,126.963,13.9935,2830.27,3088,0.0634442,0.998895,0.998895,2.49862,0.652121,0.652121
15,9.52889e-06,140.896,126.922,13.9744,2829.84,3088,0.0322335,0.99989,0.99989,3.85414,0.689621,0.689621
16,9.46048e-06,140.927,126.904,14.0227,2831.96,3088,0.0883942,0.997202,0.997202,4.99568,0.685379,0.685379
17,9.38772e-06,140.86,126.88,13.9795,2827.71,3088,0.0862321,0.997018,0.997018,4.82546,0.670682,0.670682
18,9.31067e-06,140.824,126.834,13.9906,2832.52,3088,0.0524284,0.997766,0.997766,2.77439,0.679318,0.679318
19,9.22942e-06,140.874,126.846,14.0286,2831.27,3088,0.0444368,0.999262,0.999262,2.99137,0.667576,0.667576
20,9.14405e-06,141.006,126.995,14.0108,2831.59,3088,0.0987355,0.996242,0.996242,5.39913,0.623636,0.623636
21,9.05463e-06,140.875,126.861,14.0145,2825.27,3088,0.0599312,0.997633,0.997633,5.98475,0.630758,0.630758
22,8.96127e-06,140.928,126.952,13.9764,2830.46,3088,0.0150863,1,1,5.25521,0.627273,0.627273
23,8.86404e-06,140.856,126.879,13.9768,2828.71,3088,0.0650458,0.998419,0.998419,8.31658,0.605606,0.605606
24,8.76305e-06,140.946,126.945,14.0011,2830.52,3088,0.0284158,0.9998,0.9998,4.67173,0.624394,0.624394
25,8.65839e-06,140.832,126.863,13.969,2832.4,3088,0.0180345,0.999924,0.999924,5.77408,0.659242,0.659242
26,8.55018e-06,140.902,126.902,13.9992,2825.65,3088,0.0505724,0.998685,0.998685,6.73191,0.645606,0.645606
27,8.43851e-06,140.916,126.926,13.9894,2831.65,3088,0.0302432,0.999743,0.999743,4.86791,0.672955,0.672955
28,8.32349e-06,140.871,126.863,14.008,2831.15,3088,0.0250411,0.999714,0.999714,5.94829,0.651364,0.651364
29,8.20525e-06,140.927,126.887,14.0401,2823.4,3088,0.0145874,0.999967,0.999967,5.5376,0.652121,0.652121
30,8.08389e-06,140.924,126.867,14.0572,2831.34,3088,0.0608072,0.998819,0.998819,6.45541,0.610833,0.610833
31,7.95954e-06,140.92,126.914,14.0062,2826.4,3088,0.0520761,0.998526,0.998526,6.23476,0.647879,0.647879
32,7.83231e-06,140.961,126.994,13.9671,2831.34,3088,0.0178137,0.999895,0.999895,3.72859,0.640682,0.640682
33,7.70234e-06,140.832,126.837,13.9949,2828.84,3088,0.0313839,0.999662,0.999662,6.67041,0.622727,0.622727
