epoch,lr,epoch_time_s,train_time_s,val_time_s,peak_gpu_mem_mb,peak_gpu_reserved_mb,train_loss,train_auc_mean,train_auc_meniscus,val_loss,val_auc_mean,val_auc_meniscus
1,8e-05,140.803,126.348,14.4549,2835.71,3020,0.900643,0.547109,0.547109,0.865275,0.752727,0.752727
2,7.99805e-05,140.014,125.549,14.4646,2829.4,3020,0.825106,0.700723,0.700723,0.767698,0.770758,0.770758
3,7.99219e-05,140.216,125.845,14.3711,2834.71,3020,0.755369,0.763683,0.763683,1.03104,0.768712,0.768712
4,7.98243e-05,139.043,124.76,14.2835,2833.52,3020,0.66543,0.827295,0.827295,1.9972,0.653636,0.653636
5,7.96877e-05,138.988,124.642,14.3461,2831.34,3020,0.65993,0.832732,0.832732,1.01801,0.743712,0.743712
6,7.95125e-05,138.627,124.396,14.2307,2833.71,3020,0.576448,0.873711,0.873711,0.953825,0.738939,0.738939
7,7.92986e-05,138.733,124.482,14.251,2741.36,3020,0.486656,0.911889,0.911889,1.13047,0.693106,0.693106
8,7.90463e-05,137.327,123.321,14.0055,2834.02,3020,0.422784,0.935623,0.935623,1.28345,0.703939,0.703939
9,7.87559e-05,136.394,122.371,14.0231,2832.34,3020,0.367059,0.950377,0.950377,1.26564,0.67,0.67
10,7.84276e-05,136.398,122.401,13.9975,2741.36,3020,0.295666,0.966928,0.966928,4.33514,0.694773,0.694773
11,7.80618e-05,136.51,122.499,14.0103,2741.36,3020,0.275269,0.971815,0.971815,1.58912,0.670833,0.670833
12,7.76589e-05,136.436,122.44,13.9966,2835.9,3020,0.264105,0.972365,0.972365,2.55077,0.742045,0.742045
13,7.72191e-05,136.374,122.39,13.984,2830.46,3020,0.178945,0.987299,0.987299,1.86556,0.744848,0.744848
14,7.67431e-05,136.48,122.486,13.9939,2831.96,3020,0.125332,0.993708,0.993708,2.20476,0.698106,0.698106
15,7.62312e-05,136.445,122.403,14.0414,2741.36,3020,0.166239,0.989414,0.989414,2.06111,0.739167,0.739167
16,7.56839e-05,136.422,122.428,13.9932,2834.4,3020,0.19642,0.985947,0.985947,2.38533,0.706136,0.706136
17,7.51017e-05,136.355,122.37,13.9855,2831.9,3020,0.160857,0.990005,0.990005,2.61918,0.637121,0.637121
18,7.44854e-05,136.319,122.336,13.9825,2741.36,3020,0.158522,0.989964,0.989964,3.02013,0.714621,0.714621
19,7.38354e-05,136.318,122.297,14.0204,2829.59,3020,0.0926923,0.99689,0.99689,3.40929,0.66947,0.66947
20,7.31524e-05,136.486,122.495,13.9907,2832.46,3020,0.0841619,0.99723,0.99723,2.68301,0.67803,0.67803
21,7.24371e-05,136.349,122.355,13.9936,2741.36,3020,0.168541,0.9889,0.9889,2.81346,0.658561,0.658561
22,7.16901e-05,136.481,122.445,14.0362,2835.96,3020,0.14015,0.992424,0.992424,2.59162,0.715833,0.715833
23,7.09123e-05,136.364,122.367,13.9971,2835.4,3020,0.0722794,0.998202,0.998202,2.99342,0.709848,0.709848
24,7.01044e-05,136.442,122.428,14.0136,2741.36,3020,0.0485147,0.999131,0.999131,3.01543,0.687652,0.687652
25,6.92672e-05,136.301,122.299,14.0022,2834.84,3020,0.0484008,0.99909,0.99909,2.98683,0.717197,0.717197
26,6.84014e-05,136.387,122.395,13.9913,2832.9,3020,0.0589803,0.998924,0.998924,3.90988,0.684545,0.684545
27,6.75081e-05,136.432,122.405,14.0274,2829.34,3020,0.0576574,0.998776,0.998776,4.87844,0.658333,0.658333
28,6.65879e-05,136.324,122.34,13.9838,2741.36,3020,0.0642405,0.997614,0.997614,3.69376,0.697197,0.697197
29,6.5642e-05,136.387,122.411,13.9759,2741.36,3020,0.0711985,0.997545,0.997545,3.00186,0.681515,0.681515
30,6.46711e-05,136.404,122.341,14.063,2835.4,3020,0.0611735,0.998604,0.998604,3.57642,0.753485,0.753485
